timestamp,temp_aht_c,humidity_pct,pressure_hpa,temp_dps_c,altitude_m,distance_cm
2026-05-10T15:31:13.849,19.03,45.27,993.14,19.12,168.75,400.0
2026-05-10T15:31:15.221,19.03,45.28,993.14,19.22,168.78,400.0
2026-05-10T15:31:16.221,19.05,45.25,993.14,19.23,168.77,400.0
2026-05-10T15:31:17.221,19.03,45.28,993.14,19.23,168.75,400.0
2026-05-10T15:31:18.221,19.04,45.30,993.14,19.23,168.76,79.6
2026-05-10T15:31:19.221,19.06,45.36,993.15,19.23,168.73,16.2
2026-05-10T15:31:20.221,19.05,45.32,993.15,19.25,168.74,22.6
2026-05-10T15:31:21.221,19.05,45.36,993.14,19.25,168.84,198.6
2026-05-10T15:31:22.221,19.07,45.38,993.17,19.34,168.56,10.7
2026-05-10T15:31:23.221,19.05,45.33,993.25,21.20,167.85,5.7
2026-05-10T15:31:24.221,19.06,45.42,993.26,21.76,167.79,5.7
2026-05-10T15:31:25.221,19.06,45.40,993.29,21.78,167.55,5.3
2026-05-10T15:31:26.221,19.05,45.47,993.27,22.00,167.66,7.6
2026-05-10T15:31:27.222,19.08,45.53,993.20,20.88,168.32,4.0
2026-05-10T15:31:28.222,19.08,45.58,993.16,20.37,168.60,10.7
2026-05-10T15:31:29.222,19.08,45.61,993.23,20.70,168.04,11.0
2026-05-10T15:31:30.222,19.09,45.66,993.24,20.72,167.90,10.0
2026-05-10T15:31:31.222,19.08,45.71,993.24,20.45,167.97,10.3
2026-05-10T15:31:32.222,19.09,45.68,993.22,20.29,168.08,10.3
2026-05-10T15:31:33.222,19.10,45.71,993.18,20.13,168.42,13.9
2026-05-10T15:31:34.222,19.11,45.77,993.16,20.04,168.65,7.3
2026-05-10T15:31:35.222,19.17,46.61,993.16,20.01,168.61,11.7
2026-05-10T15:31:36.222,20.11,49.13,993.24,20.13,167.98,10.0
2026-05-10T15:31:37.222,20.24,50.60,993.22,20.06,168.15,8.6
2026-05-10T15:31:38.222,20.10,51.70,993.20,20.01,168.32,8.5
2026-05-10T15:31:39.222,20.76,53.86,993.24,20.13,167.92,9.2
2026-05-10T15:31:40.222,21.23,55.78,993.25,20.15,167.84,7.9
2026-05-10T15:31:41.222,21.71,57.75,993.27,20.24,167.70,7.9
2026-05-10T15:31:42.222,21.89,59.32,993.27,20.31,167.66,9.3
2026-05-10T15:31:43.223,21.60,60.41,993.27,20.24,167.68,10.0
2026-05-10T15:31:44.223,21.34,61.39,993.26,20.20,167.73,10.0
2026-05-10T15:31:45.223,21.18,62.32,993.25,20.16,167.86,400.0
2026-05-10T15:31:46.223,21.07,63.12,993.23,20.12,168.06,165.6
2026-05-10T15:31:47.223,20.91,63.75,993.21,20.11,168.21,400.0
2026-05-10T15:31:48.223,20.80,64.25,993.19,20.10,168.39,400.0
2026-05-10T15:31:49.223,20.71,64.69,993.18,20.10,168.50,400.0
2026-05-10T15:31:50.223,20.62,65.01,993.17,20.10,168.53,62.3
2026-05-10T15:31:51.223,20.57,65.31,993.16,20.09,168.61,101.9
2026-05-10T15:31:52.223,20.49,65.40,993.16,20.09,168.63,400.0
2026-05-10T15:31:53.223,20.42,65.42,993.15,20.08,168.74,400.0
2026-05-10T15:31:54.223,20.34,65.23,993.14,20.07,168.81,149.9
2026-05-10T15:31:55.223,20.26,64.97,993.13,20.06,168.88,6.0
2026-05-10T15:31:56.223,20.23,64.66,993.13,20.04,168.89,3.4
2026-05-10T15:31:57.224,20.18,64.19,993.13,20.03,168.90,3.4
2026-05-10T15:31:58.224,20.13,63.75,993.12,20.02,168.94,3.4
2026-05-10T15:31:59.224,20.10,63.33,993.12,20.00,168.96,3.4
2026-05-10T15:32:00.224,20.08,63.19,993.12,19.99,168.93,149.5
2026-05-10T15:32:01.224,20.20,63.78,993.19,20.06,168.36,149.8
2026-05-10T15:32:02.224,20.15,63.95,993.16,20.01,168.59,150.3
2026-05-10T15:32:03.224,20.11,64.02,993.14,19.99,168.79,150.3
2026-05-10T15:32:04.224,20.09,64.10,993.14,19.98,168.81,149.9
2026-05-10T15:32:05.224,20.05,63.92,993.14,19.98,168.83,150.3
2026-05-10T15:32:06.224,20.00,63.65,993.12,19.96,168.93,149.9
2026-05-10T15:32:07.224,19.99,63.38,993.12,19.95,168.95,150.3
2026-05-10T15:32:08.224,19.95,62.95,993.12,19.95,168.96,150.3
2026-05-10T15:32:09.224,19.93,62.54,993.12,19.94,169.00,149.8
2026-05-10T15:32:10.224,19.90,62.24,993.12,19.93,168.99,149.8
2026-05-10T15:32:11.224,19.88,61.74,993.12,19.93,168.99,149.8
2026-05-10T15:32:12.225,19.87,61.30,993.11,19.92,169.02,149.8
2026-05-10T15:32:13.225,19.83,60.90,993.11,19.92,169.01,150.3
2026-05-10T15:32:14.225,19.81,60.47,993.11,19.91,169.02,150.2
2026-05-10T15:32:15.225,19.81,60.07,993.11,19.90,169.02,149.8
2026-05-10T15:32:16.225,19.78,59.61,993.11,19.88,169.05,5.0
2026-05-10T15:32:17.225,19.76,59.31,993.11,19.88,169.02,5.0
2026-05-10T15:32:18.225,19.76,59.02,993.11,19.87,169.03,3.7
2026-05-10T15:32:19.225,19.73,58.65,993.11,19.86,169.02,5.0
2026-05-10T15:32:20.225,19.71,58.34,993.11,19.85,169.01,3.7
2026-05-10T15:32:21.225,19.69,57.94,993.11,19.85,169.02,3.7
2026-05-10T15:32:22.225,19.71,57.62,993.11,19.84,169.02,3.7
2026-05-10T15:32:23.225,19.66,57.30,993.11,19.82,169.03,3.7
2026-05-10T15:32:24.225,19.67,57.03,993.11,19.83,169.01,3.7
2026-05-10T15:32:25.226,19.67,56.86,993.12,19.82,168.99,3.7
2026-05-10T15:32:26.226,19.65,56.65,993.12,19.81,168.97,3.7
2026-05-10T15:32:27.226,19.65,56.37,993.12,19.81,168.98,3.7
2026-05-10T15:32:28.226,19.59,56.01,993.12,19.80,168.98,3.7
2026-05-10T15:32:29.226,19.60,55.67,993.12,19.79,168.99,3.7
2026-05-10T15:32:30.226,19.59,55.35,993.12,19.80,168.97,3.7
2026-05-10T15:32:31.226,19.60,55.14,993.12,19.79,168.97,3.7
2026-05-10T15:32:32.226,19.59,55.01,993.12,19.78,168.98,3.7
2026-05-10T15:32:33.226,19.59,54.92,993.12,19.78,168.94,3.7
2026-05-10T15:32:34.226,19.59,54.74,993.12,19.76,168.92,3.7
2026-05-10T15:32:35.226,19.60,54.66,993.13,19.77,168.92,2.4
2026-05-10T15:32:36.226,19.61,54.69,993.12,19.76,168.92,3.7
2026-05-10T15:32:37.226,19.60,54.58,993.13,19.76,168.91,2.4
2026-05-10T15:32:38.226,19.58,54.45,993.12,19.76,168.93,2.4
2026-05-10T15:32:39.226,19.59,54.33,993.12,19.75,168.93,2.4
2026-05-10T15:32:40.227,19.57,54.22,993.12,19.75,168.95,2.4
2026-05-10T15:32:41.227,19.58,54.10,993.12,19.74,168.96,2.4
2026-05-10T15:32:42.227,19.57,53.92,993.12,19.74,168.96,2.4
2026-05-10T15:32:43.227,19.57,53.84,993.12,19.73,168.95,2.4
2026-05-10T15:32:44.227,19.56,53.65,993.12,19.73,168.95,2.4
2026-05-10T15:32:45.227,19.56,53.47,993.12,19.72,168.99,2.4
2026-05-10T15:32:46.227,19.55,53.35,993.12,19.73,168.97,2.4
2026-05-10T15:32:47.227,19.54,53.28,993.12,19.72,168.95,2.4
2026-05-10T15:32:48.227,19.54,53.12,993.12,19.72,168.94,2.4
2026-05-10T15:32:49.227,19.54,52.99,993.12,19.71,168.96,2.4
2026-05-10T15:32:50.227,19.50,52.75,993.12,19.70,168.97,2.4
2026-05-10T15:32:51.227,19.51,52.59,993.12,19.70,168.98,2.4
2026-05-10T15:32:52.227,19.51,52.45,993.12,19.71,168.95,2.4
2026-05-10T15:32:53.227,19.51,52.18,993.12,19.71,168.94,2.4
2026-05-10T15:32:54.227,19.51,52.04,993.12,19.71,168.97,2.4
2026-05-10T15:32:55.228,19.51,51.97,993.12,19.70,168.99,2.4
2026-05-10T15:32:56.228,19.49,51.75,993.12,19.70,168.99,2.3
2026-05-10T15:32:57.228,19.49,51.58,993.11,19.69,169.02,2.4
2026-05-10T15:32:58.228,19.48,51.44,993.11,19.70,169.05,2.4
2026-05-10T15:32:59.228,19.46,51.25,993.11,19.70,169.07,2.4
2026-05-10T15:33:00.228,19.47,51.13,993.10,19.69,169.09,2.4
2026-05-10T15:33:01.228,19.47,51.03,993.10,19.68,169.12,2.4
2026-05-10T15:33:02.228,19.47,50.87,993.10,19.68,169.15,2.4
2026-05-10T15:33:03.228,19.45,50.68,993.10,19.68,169.16,2.4
2026-05-10T15:33:04.228,19.44,50.59,993.10,19.67,169.16,2.4
2026-05-10T15:33:05.228,19.45,50.47,993.10,19.67,169.14,2.4
2026-05-10T15:33:06.228,19.45,50.34,993.10,19.67,169.14,2.4
2026-05-10T15:33:07.228,19.45,50.22,993.10,19.66,169.13,2.4
2026-05-10T15:33:08.228,19.43,50.12,993.10,19.67,169.14,2.4
2026-05-10T15:33:09.228,19.44,49.99,993.10,19.67,169.16,2.4
2026-05-10T15:33:10.229,19.43,49.86,993.10,19.67,169.16,2.4
2026-05-10T15:33:11.229,19.43,49.76,993.09,19.67,169.19,2.4
2026-05-10T15:33:12.229,19.42,49.75,993.09,19.66,169.23,2.4
2026-05-10T15:33:13.229,19.42,49.69,993.09,19.65,169.25,2.4
2026-05-10T15:33:14.229,19.42,49.57,993.09,19.66,169.25,2.4
2026-05-10T15:33:15.229,19.40,49.50,993.09,19.65,169.25,2.4
2026-05-10T15:33:16.229,19.40,49.37,993.08,19.65,169.28,2.4
2026-05-10T15:33:17.229,19.40,49.33,993.08,19.66,169.27,2.4
2026-05-10T15:33:18.229,19.41,49.21,993.08,19.65,169.26,2.4
2026-05-10T15:33:19.229,19.41,49.15,993.09,19.65,169.25,2.4
2026-05-10T15:33:20.229,19.40,49.07,993.09,19.65,169.24,2.4
2026-05-10T15:33:21.229,19.41,48.95,993.09,19.65,169.24,2.4
2026-05-10T15:33:22.229,19.40,48.89,993.09,19.64,169.25,2.4
2026-05-10T15:33:23.229,19.38,48.82,993.09,19.65,169.24,2.4
2026-05-10T15:33:24.229,19.39,48.81,993.08,19.63,169.27,2.4
2026-05-10T15:33:25.229,19.39,48.68,993.08,19.63,169.28,2.4
2026-05-10T15:33:26.230,19.38,48.61,993.08,19.63,169.27,2.4
2026-05-10T15:33:27.230,19.40,48.56,993.09,19.64,169.24,2.4
2026-05-10T15:33:28.230,19.38,48.47,993.09,19.64,169.25,2.4
2026-05-10T15:33:29.230,19.39,48.42,993.08,19.62,169.26,2.4
2026-05-10T15:33:30.230,19.37,48.43,993.08,19.61,169.28,2.4
2026-05-10T15:33:31.230,19.38,48.37,993.08,19.62,169.26,2.4
2026-05-10T15:33:32.230,19.38,48.36,993.08,19.63,169.28,2.4
2026-05-10T15:33:33.230,19.38,48.33,993.08,19.62,169.28,2.4
2026-05-10T15:33:34.230,19.37,48.28,993.08,19.62,169.30,2.3
2026-05-10T15:33:35.230,19.36,48.26,993.08,19.61,169.28,2.4
2026-05-10T15:33:36.230,19.39,48.20,993.08,19.62,169.28,2.4
2026-05-10T15:33:37.233,19.37,48.17,993.09,19.62,169.25,2.3
2026-05-10T15:33:38.233,19.37,48.16,993.09,19.61,169.25,2.4
2026-05-10T15:33:39.233,19.37,48.20,993.09,19.60,169.24,2.4
2026-05-10T15:33:40.233,19.38,48.13,993.08,19.60,169.27,2.4
2026-05-10T15:33:41.233,19.38,48.09,993.09,19.60,169.25,2.4
2026-05-10T15:33:42.233,19.36,48.06,993.09,19.60,169.24,2.4
2026-05-10T15:33:43.233,19.37,48.04,993.09,19.60,169.25,2.4
2026-05-10T15:33:44.233,19.38,47.99,993.09,19.59,169.24,2.4
2026-05-10T15:33:45.234,19.37,47.99,993.09,19.59,169.22,2.4
2026-05-10T15:33:46.234,19.37,47.96,993.09,19.59,169.20,2.4
2026-05-10T15:33:47.234,19.37,47.91,993.09,19.60,169.19,2.4
2026-05-10T15:33:48.234,19.37,47.89,993.09,19.59,169.20,2.4
2026-05-10T15:33:49.234,19.34,47.77,993.09,19.59,169.19,2.4
2026-05-10T15:33:50.234,19.35,47.80,993.09,19.60,169.19,2.4
2026-05-10T15:33:51.234,19.36,47.73,993.10,19.59,169.17,2.4
2026-05-10T15:33:52.234,19.35,47.70,993.10,19.60,169.15,2.4
2026-05-10T15:33:53.234,19.35,47.70,993.10,19.59,169.13,2.4
2026-05-10T15:33:54.234,19.36,47.60,993.10,19.59,169.13,2.4
2026-05-10T15:33:55.234,19.35,47.57,993.10,19.60,169.13,2.4
2026-05-10T15:33:56.234,19.35,47.51,993.10,19.60,169.14,2.4
2026-05-10T15:33:57.234,19.36,47.46,993.10,19.59,169.12,2.4
2026-05-10T15:33:58.234,19.34,47.50,993.10,19.59,169.13,2.4
2026-05-10T15:33:59.234,19.34,47.43,993.10,19.59,169.10,2.4
2026-05-10T15:34:00.235,19.34,47.45,993.10,19.58,169.12,2.4
2026-05-10T15:34:01.235,19.33,47.38,993.11,19.59,169.08,2.4
2026-05-10T15:34:02.235,19.33,47.30,993.11,19.60,169.06,2.4
2026-05-10T15:34:03.235,19.35,47.27,993.11,19.58,169.06,2.4
2026-05-10T15:34:04.235,19.35,47.28,993.11,19.60,169.02,2.4
2026-05-10T15:34:05.235,19.35,47.25,993.11,19.58,169.03,2.4
2026-05-10T15:34:06.235,19.33,47.20,993.12,19.58,168.99,2.4
2026-05-10T15:34:07.235,19.34,47.13,993.11,19.58,169.03,2.4
2026-05-10T15:34:08.235,19.33,47.09,993.11,19.58,169.07,2.4
2026-05-10T15:34:09.235,19.32,47.08,993.11,19.58,169.06,2.4
2026-05-10T15:34:10.235,19.33,47.06,993.11,19.59,169.08,2.4
2026-05-10T15:34:11.235,19.34,47.01,993.11,19.59,169.07,2.4
2026-05-10T15:34:12.235,19.33,47.01,993.11,19.58,169.07,2.4
2026-05-10T15:34:13.235,19.33,46.97,993.11,19.58,169.08,2.4
